Categorie;Description;Exemples_de_bugs
Authentification;Problèmes liés à la connexion, à la gestion des sessions, aux jetons et aux mécanismes d’authentification SSO ou internes.;"Impossible de se connecter avec SSO;Expiration prématurée de la session utilisateur;Erreur 500 lors de la connexion"
User Management;Anomalies concernant la création, la modification, la suppression ou la recherche d’utilisateurs, ainsi que la gestion de leurs profils.;"Création d’utilisateur échoue sans message d’erreur;Impossible de modifier le profil utilisateur;Recherche d’utilisateurs ne retourne aucun résultat"
Report / Dashboard;Bugs sur la génération, l’affichage ou le filtrage des rapports et tableaux de bord (indicateurs, widgets, graphiques).;"Dashboard ne se charge pas pour certains comptes;Filtres de date ignorés dans le rapport PDF;Graphique des ventes affiche des valeurs erronées"
Document Management;Problèmes de création, téléchargement, prévisualisation, versionning ou suppression de documents et pièces jointes.;"Téléversement de document bloqué à 99%;Impossible de prévisualiser les PDF;Ancienne version du document affichée après mise à jour"
Secure Data Exchange;Anomalies dans les flux d’échange de données sécurisés (SFTP, API sécurisées, chiffrement, échanges inter-systèmes).;"Transfert SFTP échoue pour les gros fichiers;Clé de chiffrement non prise en compte;Erreur de signature lors de l’envoi de données"
Mass Management;Erreurs sur les traitements de masse (imports/exports, mises à jour bulk, batchs planifiés).;"Import CSV de masse ignore certaines lignes;Export Excel tronqué au-delà de 10 000 lignes;Tâche batch quotidienne ne s’exécute pas"
Content Management;Bugs liés à la gestion de contenus éditoriaux (textes, pages, FAQs, templates) et à leur publication.;"Modification de contenu non sauvegardée;Page d’aide non mise à jour après publication;Éditeur rich text supprime la mise en forme"
Client Management;Anomalies sur la création, la mise à jour ou la consultation des fiches clients et de leurs informations associées.;"Impossible d’enregistrer un nouveau client;Adresse client non prise en compte;Fusion de doublons clients échoue"
Analytics / GA;Problèmes de tracking analytique (Google Analytics, tags, événements, conversions) et cohérence des données remontées.;"Événements GA non envoyés sur certaines pages;Tag de conversion déclenché plusieurs fois;Données de trafic incohérentes avec les logs"
ChurnApps;Bugs spécifiques au module ou produit ChurnApps, incluant ses écrans, processus métier et intégrations.;"Écran ChurnApps ne charge pas la liste des comptes;Score de churn non mis à jour;Export ChurnApps génère un fichier vide"
CI/CD Pipeline;Anomalies sur les pipelines d’intégration et déploiement continus (build, tests, déploiements automatiques).;"Pipeline Jenkins en échec sur l’étape de tests;Déploiement automatique non déclenché sur la branche main;Variables d’environnement non prises en compte"
Performance / UI;Problèmes de lenteur, temps de réponse, blocages d’interface ou défauts d’affichage et de responsivité.;"Chargement de la page dépasse 10 secondes;Liste déroulante ne s’ouvre pas sur mobile;Scrolling saccadé sur le tableau principal"
Supplier Management;Bugs liés à la gestion des fournisseurs (création, contrats, référentiels et informations associées).;"Impossible d’ajouter un nouveau fournisseur;Contrat fournisseur non visible dans la fiche;Recherche de fournisseur par SIRET ne fonctionne pas"
Access Control;Anomalies de droits, rôles et permissions d’accès aux fonctionnalités ou aux données.;"Un utilisateur standard peut accéder à la page d’administration;Droits de lecture non appliqués sur certains rapports;Changement de rôle non pris en compte avant reconnexion"
Email / Notifications;Problèmes d’envoi, de contenu ou de déclenchement des emails et notifications (templates, destinataires, fréquence).;"Emails de confirmation non reçus;Template d’email affiche des variables brutes;Notification envoyée en double aux utilisateurs"
