Issue_Key;Categorie;Tenant;Type_Portail;Statut;Created;PI_Planning
TICKET-0001;Feature 11;BR;Projet 3;In Review;26/03/2026 09:36;PI 4
TICKET-0002;Feature 6;JP;Projet 2;In Review;23/03/2026 16:59;PI 5
TICKET-0003;Feature 3;MX;Projet 3;In Review;23/03/2026 14:35;PI 4
TICKET-0004;Feature 5;JP;Projet 1;Deployed;16/03/2026 09:32;PI 4
TICKET-0005;Feature 3;JP;JP;In Review;12/03/2026 10:56;PI 4
TICKET-0006;Feature 13;CL;Projet 3;Pending Release;11/03/2026 11:58;PI 4
TICKET-0007;Feature 13;ZA;Projet 3;Deployed;11/03/2026 11:44;PI 4
TICKET-0008;Feature 3;AR;Projet 2;Closed;10/03/2026 15:19;PI 4
TICKET-0009;Feature 6;AR;Projet 2;In Review;10/03/2026 15:10;PI 4
TICKET-0010;Feature 10;AR;Projet 2;Closed;10/03/2026 13:39;PI 4
TICKET-0011;Feature 11;AR;Projet 2;In Review;10/03/2026 13:30;PI 4
TICKET-0012;Feature 7;MX;Projet 2;Closed;09/03/2026 16:07;PI 4
TICKET-0013;Feature 7;AR;Projet 2;Closed;09/03/2026 14:12;PI 4
TICKET-0014;Feature 13;AR;Projet 2;In Review;09/03/2026 13:58;PI 4
TICKET-0015;Feature 13;AR;Projet 2;Closed;09/03/2026 13:45;PI 4
TICKET-0016;Feature 3;AR;Projet 2;Closed;09/03/2026 13:27;PI 4
TICKET-0017;Feature 10;AR;Projet 2;Closed;09/03/2026 09:45;PI 4
TICKET-0018;Feature 10;AR;Projet 2;Closed;06/03/2026 17:25;PI 4
TICKET-0019;Feature 11;IN;Projet 3;Deployed;06/03/2026 15:39;PI 4
TICKET-0020;Feature 5;JP;Projet 1;Closed;06/03/2026 09:26;PI 4
TICKET-0021;Feature 2;JP;JP;In Review;04/03/2026 12:13;PI 5
TICKET-0022;Feature 13;BR;Projet 2;Cancelled;26/Feb/26 2:11 PM;PI 4
TICKET-0023;Feature 3;AR;Projet 3;Cancelled;25/Feb/26 5:58 PM;PI 4
TICKET-0024;Feature 8;JP;JP;Closed;25/Feb/26 5:01 PM;PI 4
TICKET-0025;Feature 13;JP;JP;Closed;20/Feb/26 5:28 PM;PI 4
TICKET-0026;Feature 11;BR;Projet 2;In Review;19/Feb/26 2:05 PM;PI 5
TICKET-0027;Feature 8;BR;Projet 3;Cancelled;18/Feb/26 5:30 PM;PI 4
TICKET-0028;Feature 8;BR;Projet 3;Closed;18/Feb/26 5:16 PM;PI 4
TICKET-0029;Feature 8;BR;Projet 2;Closed;18/Feb/26 4:45 PM;PI 4
TICKET-0030;Feature 13;PL;Projet 3;In Progress;18/Feb/26 10:14 AM;PI 4
TICKET-0031;Feature 12;JP;JP;Closed;17/Feb/26 4:35 PM;PI 4
TICKET-0032;Feature 6;CL;Projet 3;Deployed;17/Feb/26 3:31 PM;PI 4
TICKET-0033;Feature 13;ZA;Projet 3;Cancelled;17/Feb/26 2:03 PM;PI 4
TICKET-0034;Feature 13;JP;JP;Closed;16/Feb/26 4:40 PM;PI 4
TICKET-0035;Feature 3;TH;Projet 3;Deployed;13/Feb/26 3:06 PM;PI 4
TICKET-0036;Feature 8;JP;Projet 3;Deployed;12/Feb/26 9:29 AM;PI 4
TICKET-0037;Feature 13;JP;Projet 3;Closed;10/Feb/26 4:15 PM;PI 4
TICKET-0038;Feature 3;JP;JP;Deployed;10/Feb/26 2:35 PM;PI 4
TICKET-0039;Feature 13;ZA;Projet 3;Closed;09/Feb/26 5:01 PM;PI 4
TICKET-0040;Feature 2;IN;Projet 3;Pending Release;05/Feb/26 2:52 PM;PI 4
TICKET-0041;Feature 5;JP;Projet 1;Closed;04/Feb/26 4:27 PM;PI 4
TICKET-0042;Feature 6;BR;Projet 2;In Review;03/Feb/26 1:28 PM;PI 4
TICKET-0043;Feature 8;NG;Projet 3;Closed;03/Feb/26 10:22 AM;PI 4
TICKET-0044;Feature 5;JP;Projet 1;Closed;02/Feb/26 11:06 AM;PI 4
TICKET-0045;Feature 10;JP;JP;In Review;26/01/2026 16:57;PI 6
TICKET-0046;Feature 13;MX;JP;Closed;26/01/2026 15:09;PI 4
TICKET-0047;Feature 11;JP;JP;Closed;23/01/2026 16:16;PI 4
